"codgeo";"libgeo";"pop2019";"pop0020_2019";"pop6475_2019";"pop7582019";"typoAAV20";"grilledens7";"libaav20";"tx_evol_annuel_1319"
"01001";"L'Abergement-Clémenciat";"779";"209";"131";"61";"T01_20";6;"524 - Châtillon-sur-Chalaronne";"0.26"
"01002";"L'Abergement-de-Varey";"256";"70";"35";"20";"T00_30";6;"N/A - hors champ";"1.36"
"01004";"Ambérieu-en-Bugey";"14134";"3686";"2054";"1239";"T01_10";2;"243 - Ambérieu-en-Bugey";"-0.26"
"01005";"Ambérieux-en-Dombes";"1751";"435";"272";"121";"T45_20";5;"002 - Lyon";"1.15"
"01006";"Ambléon";"112";"15";"27";"11";"T01_20";6;"286 - Belley";"0.61"
"01007";"Ambronay";"2800";"769";"427";"191";"T01_20";6;"243 - Ambérieu-en-Bugey";"1.89"
"01008";"Ambutrix";"762";"181";"114";"37";"T01_20";4;"243 - Ambérieu-en-Bugey";"0.4"
"01009";"Andert-et-Condon";"326";"71";"69";"42";"T01_20";6;"286 - Belley";"-0.55"
"01010";"Anglefort";"1105";"309";"151";"78";"T00_30";5;"N/A - hors champ";"-0.05"
"01011";"Apremont";"368";"102";"78";"16";"T02_20";6;"168 - Oyonnax";"-1.13"
"01012";"Aranc";"329";"79";"61";"46";"T01_20";6;"572 - Plateau d'Hauteville";"0.78"
"01013";"Arandas";"143";"36";"27";"11";"T01_20";7;"243 - Ambérieu-en-Bugey";"-1.65"
"01014";"Arbent";"3349";"811";"680";"257";"T02_20";4;"168 - Oyonnax";"-0.3"
"01015";"Arboys en Bugey";"650";"138";"135";"74";"T01_20";6;"286 - Belley";"0.5"
"01016";"Arbigny";"460";"129";"80";"38";"T02_20";6;"084 - Mâcon";"1.25"
"01017";"Argis";"457";"121";"82";"42";"T00_30";6;"N/A - hors champ";"1.34"
"01019";"Armix";"27";"4";"10";"2";"T00_30";7;"N/A - hors champ";"4.28"
"01021";"Ars-sur-Formans";"1457";"383";"252";"79";"T45_20";5;"002 - Lyon";"0.82"
"01022";"Artemare";"1249";"279";"243";"151";"T01_20";5;"286 - Belley";"1.02"
"01023";"Asnières-sur-Saône";"76";"19";"12";"3";"T02_20";6;"084 - Mâcon";"1.62"
"01024";"Attignat";"3251";"883";"510";"215";"T02_20";5;"080 - Bourg-en-Bresse";"-0.05"
"01025";"Bâgé-Dommartin";"4065";"1135";"661";"246";"T02_20";6;"084 - Mâcon";"0.12"
"01026";"Bâgé-le-Châtel";"973";"216";"160";"138";"T02_20";5;"084 - Mâcon";"2.18"
"01027";"Balan";"2563";"713";"245";"74";"T45_20";5;"002 - Lyon";"-1.63"
"01028";"Baneins";"617";"184";"114";"36";"T00_30";6;"N/A - hors champ";"1.24"
"01029";"Beaupont";"685";"160";"103";"57";"T02_20";6;"080 - Bourg-en-Bresse";"0.2"
"01030";"Beauregard";"829";"218";"121";"48";"T45_20";4;"002 - Lyon";"-0.91"
