"DEP";"POP";"ABS_PRES_2022";"DENSITE_POP";"SOLDE_MIGRATOIRE";"PART_65PLUS";"PART_RETRAITES";"PART_CADRES";"ABS_EUR_2019"
"Ain";"657856";"22.3";"114.16";"3099";"18";"25.3";"9.2";"50.2"
"Aisne";"529374";"27.1";"71.91";"-1930";"20.7";"29.1";"4.6";"47.4"
"Allier";"335628";"23.4";"45.73";"210";"27.8";"36.5";"4.5";"45.6"
"Alpes-de-Haute-Provence";"165451";"22.9";"23.89";"1077";"26.3";"33.4";"6.1";"44.8"
"Hautes-Alpes";"140605";"22.3";"25.34";"247";"25.3";"33.4";"5.5";"45"
"Alpes-Maritimes";"1097410";"26.7";"255.3";"2198";"24.6";"29.7";"9.5";"50.2"
"Ardèche";"329325";"21.1";"59.57";"1803";"25.2";"34";"5.7";"44.7"
"Ardennes";"269701";"26.5";"51.57";"-1459";"21.8";"29.7";"4.3";"49.1"
"Ariège";"153954";"21";"31.48";"796";"26.5";"34";"4.9";"43.2"
"Aube";"311435";"25.5";"51.87";"459";"21.6";"29.9";"5.7";"46.8"
"Aude";"375217";"22.5";"61.12";"2570";"26.3";"33.5";"5";"43.6"
"Aveyron";"279554";"20";"32";"1275";"27.6";"35.4";"5";"42.5"
"Bouches-du-Rhône";"2048070";"27.2";"402.57";"-985";"20.6";"25.6";"10.1";"51.7"
"Calvados";"697547";"23";"126.04";"905";"22";"30.3";"7.4";"45"
"Cantal";"144379";"21.6";"25.21";"592";"28.4";"36.4";"4.3";"47.1"
"Charente";"351718";"23.3";"59.05";"633";"25.5";"33.8";"5.5";"47.5"
"Charente-Maritime";"655709";"22.4";"95.53";"5460";"28";"36.6";"5.7";"46"
"Cher";"300933";"26.6";"41.59";"-629";"26";"34.5";"5.5";"48"
"Corrèze";"239190";"20.8";"40.84";"853";"27.8";"36";"5.2";"44.3"
"Côte-d'Or";"535078";"21.2";"61.06";"71";"21.2";"28.5";"8.7";"45.9"
"Côtes-d'Armor";"603640";"20.5";"87.77";"2965";"26.1";"35.7";"5.6";"42.8"
"Creuse";"115995";"24.2";"20.84";"354";"30.4";"39.8";"4.1";"46.7"
"Dordogne";"412807";"20.4";"45.56";"1760";"29.3";"37.7";"4.4";"41.7"
"Doubs";"545209";"22.8";"104.19";"81";"19.8";"27";"7.5";"48.2"
"Drôme";"517709";"22.1";"79.28";"2167";"22.1";"29.6";"7.2";"47.1"
"Eure";"599668";"24.6";"99.81";"-1074";"19.5";"28.1";"6.7";"46.6"
"Eure-et-Loir";"431443";"26";"73.38";"-1273";"20.6";"29.1";"7.3";"48.5"
"Finistère";"917179";"21.8";"136.22";"3684";"23.4";"32.2";"7.2";"45.8"
"Corse-du-Sud";"160814";"37.2";"40.06";"1652";"24.2";"27.6";"5.7";"62.4"
"Haute-Corse";"182887";"37.4";"39.2";"1826";"23.4";"26.4";"5.1";"61.7"
"Gard";"751457";"23.9";"128.39";"2043";"23.4";"30";"6.3";"47.8"
"Haute-Garonne";"1415757";"19.7";"224.39";"9624";"16.7";"21.7";"15.4";"44.1"
"Gers";"191819";"19.2";"30.66";"1132";"27.9";"35.4";"6.1";"41.6"
"Gironde";"1636391";"21.5";"164.04";"14542";"19.4";"25.7";"10.8";"46.1"
"Hérault";"1188973";"23.1";"194.88";"11326";"21.9";"27.6";"9.1";"47.3"
"Ille-et-Vilaine";"1088855";"20.9";"160.72";"5924";"18.1";"25.6";"10.6";"45.7"
"Indre";"218707";"24.9";"32.21";"5";"28.3";"37.3";"4.4";"46"
"Indre-et-Loire";"612119";"24";"99.91";"644";"21.8";"29.6";"8.5";"47.4"
